Date,Quarter,Ticker,PE_Ratio,PB_Ratio,Debt_to_Equity,Current_Ratio,ROE,ROA,Market_Cap,Total_Revenue,Net_Income,Altman_Z,GDP_Growth,CPI_Inflation,Fed_Funds_Rate,Unemployment_Rate,Sentiment_Score,Sentiment_Volatility,Risk_Score,Financial_Distress,Risk_Category
2014-06-30,2014-06-30,MSFT,35.84,3.91,0.118,1.726,0.1989,0.0811,449439452575,44794594212,23949454884,7.05,3.92,1.9,2.32,5.6,0.638,0.19,7.05,0,Low
2014-09-30,2014-09-30,MSFT,31.86,7.83,0.155,1.739,0.1933,0.1025,425556055118,30910696453,6544833233,5.93,4.02,1.96,2.78,4.6,0.54,0.199,5.93,0,Low
2014-12-31,2014-12-31,MSFT,33.53,5.75,0.26,1.71,0.2221,0.1193,478641188811,33726653399,7698596916,4.47,4.11,2.39,1.99,4.2,0.577,0.444,4.47,0,Low
2015-03-31,2015-03-31,MSFT,38.74,3.15,0.203,1.319,0.2349,0.1224,497918643848,44838212574,28467598687,5.0,4.27,2.61,2.61,4.8,0.616,0.123,5.0,0,Low
2015-06-30,2015-06-30,MSFT,35.39,7.17,0.141,1.541,0.1989,0.0803,416768283820,45894413520,22152735818,6.15,4.42,2.68,3.28,3.9,0.495,0.509,6.15,0,Low
2015-09-30,2015-09-30,MSFT,32.03,3.55,0.264,1.338,0.1942,0.0925,404221092104,25911168138,8364790773,4.15,4.43,2.64,3.59,3.7,0.267,0.323,4.15,0,Low
2015-12-31,2015-12-31,MSFT,40.11,2.67,0.136,1.49,0.2635,0.1135,547667011350,69677167171,43961903386,6.48,4.42,2.48,3.01,4.3,0.603,0.263,6.48,0,Low
2016-03-31,2016-03-31,MSFT,39.81,7.61,0.148,1.582,0.2414,0.1299,503486491731,51703128082,13656450440,6.24,4.48,2.54,2.67,3.8,0.683,0.07,6.24,0,Low
2016-06-30,2016-06-30,MSFT,36.18,7.49,0.142,1.976,0.2035,0.1131,427820548763,46456609123,12694032272,6.44,4.5,3.37,2.72,4.3,0.486,0.169,6.44,0,Low
2016-09-30,2016-09-30,MSFT,33.17,2.28,0.273,1.241,0.2013,0.0848,428905896689,57993507770,22623246281,4.0,4.4,3.0,2.84,4.8,0.639,0.275,4.0,0,Low
2016-12-31,2016-12-31,MSFT,27.83,6.9,0.21,1.314,0.1846,0.0913,400472856404,30991030420,16601129474,4.72,4.28,3.07,2.32,5.0,0.411,0.302,4.72,0,Low
2017-03-31,2017-03-31,MSFT,30.9,2.48,0.145,1.51,0.1878,0.0895,416993422918,35521936313,5657320411,6.07,4.24,2.08,2.4,5.7,0.507,0.17,6.07,0,Low
2017-06-30,2017-06-30,MSFT,42.95,2.52,0.23,1.935,0.2389,0.1104,545222958004,67557333920,33862130658,4.82,4.18,2.67,2.8,4.9,0.582,0.474,4.82,0,Low
2017-09-30,2017-09-30,MSFT,32.34,5.36,0.225,1.384,0.197,0.101,464058260353,35665605107,16209255978,4.6,4.02,2.27,1.88,4.7,0.399,0.379,4.6,0,Low
2017-12-31,2017-12-31,MSFT,24.99,4.25,0.214,1.614,0.1707,0.0802,416286746009,57899117470,8464088012,4.71,3.86,2.86,1.78,5.4,0.588,0.331,4.71,0,Low
2018-03-31,2018-03-31,MSFT,27.39,3.75,0.222,1.784,0.1673,0.0878,423289235031,31898417793,16651997529,4.69,3.8,1.9,1.67,5.1,0.469,0.391,4.69,0,Low
2018-06-30,2018-06-30,MSFT,32.55,2.79,0.275,1.405,0.1773,0.1085,465155534848,60063837025,18552933137,4.15,3.76,2.94,1.37,5.0,0.445,0.263,4.15,0,Low
2018-09-30,2018-09-30,MSFT,20.38,3.25,0.217,1.619,0.1249,0.058,338632026369,31114062078,13446094909,4.53,3.64,2.01,1.17,5.2,0.402,0.21,4.53,0,Low
2018-12-31,2018-12-31,MSFT,19.45,3.66,0.501,1.407,0.1383,0.0698,385247937520,54899974754,15465734422,2.95,3.54,2.9,1.0,6.1,0.395,0.06,2.95,0,Medium
2019-03-31,2019-03-31,MSFT,25.48,4.22,0.186,1.469,0.1565,0.074,443837794906,57966240641,15114202114,5.04,3.57,2.94,1.22,4.8,0.458,0.007,5.04,0,Low
2019-06-30,2019-06-30,MSFT,20.14,3.91,0.187,1.713,0.1083,0.0496,309265851454,29673304736,4910265369,4.95,3.62,3.35,0.56,5.0,0.433,0.154,4.95,0,Low
2019-09-30,2019-09-30,MSFT,22.95,5.58,0.406,1.52,0.141,0.0639,400550028219,45615462872,18081352029,3.24,3.61,3.21,1.05,5.6,0.383,0.353,3.24,0,Low
2019-12-31,2019-12-31,MSFT,18.23,3.02,0.302,1.402,0.1297,0.0667,362544892069,37285221519,16534774620,3.71,3.63,2.19,1.53,5.9,0.369,0.263,3.71,0,Low
2020-03-31,2020-03-31,MSFT,17.51,2.42,0.221,1.784,0.1455,0.0807,396262213261,51907718545,15227404895,4.66,2.77,2.21,0.68,6.8,0.284,0.164,4.66,0,Low
2020-06-30,2020-06-30,MSFT,20.11,5.16,0.229,1.581,0.1405,0.0794,370847542271,34560857978,9177473192,4.49,2.94,3.94,1.26,7.2,0.426,0.212,4.49,0,Low
2020-09-30,2020-09-30,MSFT,19.93,5.41,0.116,2.002,0.1585,0.0864,403936585211,45500163792,13459710069,7.24,3.02,3.2,0.93,6.6,0.174,0.219,7.24,0,Low
2020-12-31,2020-12-31,MSFT,19.56,7.04,0.268,1.319,0.1763,0.1097,434110677735,30987982291,4751984638,4.18,3.12,1.86,1.07,6.5,0.156,0.179,4.18,0,Low
2021-03-31,2021-03-31,MSFT,33.3,6.62,0.141,1.685,0.2035,0.1113,484568181346,48499234048,12574017027,6.35,4.33,3.16,1.89,5.3,0.506,0.201,6.35,0,Low
2021-06-30,2021-06-30,MSFT,33.6,6.97,0.138,1.794,0.1875,0.0939,433456514831,42012460423,16216528613,6.38,4.53,3.47,2.65,4.8,0.633,0.208,6.38,0,Low
2021-09-30,2021-09-30,MSFT,35.69,6.44,0.117,1.597,0.2177,0.1051,490413754895,56527586465,20025559212,7.18,4.63,2.88,2.54,5.3,0.56,0.301,7.18,0,Low
2021-12-31,2021-12-31,MSFT,34.64,4.32,0.27,1.532,0.2306,0.1113,508597399753,52221347371,21504232664,4.29,4.72,2.16,2.59,4.9,0.67,0.358,4.29,0,Low
2022-03-31,2022-03-31,MSFT,41.51,2.32,0.17,1.61,0.2529,0.1141,548754096442,68234037396,44264814061,5.65,4.88,2.72,2.55,4.5,0.673,0.084,5.65,0,Low
2022-06-30,2022-06-30,MSFT,42.48,2.7,0.092,1.622,0.2399,0.1042,514628736620,67311362741,27345898807,8.6,5.03,3.34,3.04,3.8,0.449,0.304,8.6,0,Low
2022-09-30,2022-09-30,MSFT,35.36,2.74,0.326,1.212,0.2154,0.1309,459067978423,55565770244,20544346155,3.87,5.04,2.57,2.83,3.9,0.6,0.331,3.87,0,Low
2022-12-31,2022-12-31,MSFT,38.03,2.23,0.251,1.447,0.251,0.1392,533990468674,54541131231,37032082673,4.58,5.03,3.49,2.4,4.3,0.595,0.472,4.58,0,Low
