Quarter,GDP_Growth,CPI_Inflation,Fed_Funds_Rate,Unemployment_Rate,Date
2017-03-31,4.24,3.18,2.63,3.7,2017-03-31
2017-06-30,4.18,3.21,2.35,5.9,2017-06-30
2017-09-30,4.02,3.49,1.57,4.8,2017-09-30
2017-12-31,3.86,3.74,1.54,5.7,2017-12-31
2018-03-31,3.8,2.27,1.89,4.4,2018-03-31
2018-06-30,3.76,2.79,1.65,5.2,2018-06-30
2018-09-30,3.64,3.01,1.21,6.2,2018-09-30
2018-12-31,3.54,3.05,1.72,4.3,2018-12-31
2019-03-31,3.57,2.18,1.96,5.8,2019-03-31
2019-06-30,3.62,2.64,0.87,5.5,2019-06-30
2019-09-30,3.61,2.73,1.25,6.4,2019-09-30
2019-12-31,3.63,3.33,0.81,5.4,2019-12-31
2020-03-31,2.77,2.91,0.77,6.4,2020-03-31
2020-06-30,2.94,3.13,0.58,6.8,2020-06-30
2020-09-30,3.02,2.93,1.33,6.8,2020-09-30
2020-12-31,3.12,2.81,1.76,6.3,2020-12-31
2021-03-31,4.33,3.86,1.63,6.1,2021-03-31
2021-06-30,4.53,2.92,3.05,4.2,2021-06-30
2021-09-30,4.63,3.03,2.38,4.6,2021-09-30
2021-12-31,4.72,3.17,2.42,5.6,2021-12-31
2022-03-31,4.88,3.4,3.08,4.2,2022-03-31
2022-06-30,5.03,3.64,2.46,4.5,2022-06-30
2022-09-30,5.04,4.47,2.89,4.1,2022-09-30
2022-12-31,5.03,2.28,3.14,5.5,2022-12-31
2000-03-31,2.5,1.5,2.03,4.4,2000-03-31
2000-06-30,2.71,1.82,2.29,4.0,2000-06-30
2000-09-30,2.8,0.99,2.31,4.7,2000-09-30
2000-12-31,2.89,1.21,2.61,5.2,2000-12-31
2001-03-31,3.06,2.36,2.9,3.8,2001-03-31
2001-06-30,3.2,1.56,2.16,3.8,2001-06-30
2001-09-30,3.22,1.46,2.24,4.1,2001-09-30
2001-12-31,3.2,2.07,3.18,4.3,2001-12-31
2002-03-31,3.26,2.68,3.14,4.5,2002-03-31
2002-06-30,3.29,2.03,2.93,3.8,2002-06-30
2002-09-30,3.19,2.26,2.82,3.8,2002-09-30
2002-12-31,3.06,1.19,2.13,4.5,2002-12-31
2003-03-31,3.02,2.28,2.24,4.3,2003-03-31
2003-06-30,2.97,2.54,1.6,4.9,2003-06-30
2003-09-30,2.8,2.13,2.22,5.3,2003-09-30
2003-12-31,2.64,1.33,1.68,4.9,2003-12-31
2004-03-31,2.59,1.95,1.45,6.2,2004-03-31
2004-06-30,2.55,2.69,1.59,5.8,2004-06-30
2004-09-30,2.42,1.78,1.25,5.1,2004-09-30
2004-12-31,2.32,2.59,1.67,5.7,2004-12-31
2005-03-31,2.35,2.49,1.11,6.1,2005-03-31
2005-06-30,2.41,2.49,1.07,5.9,2005-06-30
2005-09-30,2.39,2.26,1.39,4.6,2005-09-30
2005-12-31,2.41,1.93,1.15,5.7,2005-12-31
2006-03-31,2.55,1.28,1.53,4.7,2006-03-31
2006-06-30,2.72,2.18,1.06,5.0,2006-06-30
2006-09-30,2.8,1.85,1.98,5.6,2006-09-30
2006-12-31,2.9,1.25,1.99,5.2,2006-12-31
2007-03-31,1.11,1.76,0.89,8.5,2007-03-31
2007-06-30,1.31,2.15,1.29,9.2,2007-06-30
2007-09-30,1.41,2.37,1.61,8.7,2007-09-30
2007-12-31,1.5,2.43,1.37,7.7,2007-12-31
2008-03-31,3.66,1.98,2.48,3.9,2008-03-31
2008-06-30,3.81,2.36,3.45,4.9,2008-06-30
2008-09-30,3.82,2.08,2.8,3.1,2008-09-30
2008-12-31,3.81,2.27,3.32,4.5,2008-12-31
2009-03-31,3.87,2.2,3.08,3.6,2009-03-31
2009-06-30,3.89,2.42,2.45,4.0,2009-06-30
2009-09-30,3.8,2.7,2.13,5.9,2009-09-30
2009-12-31,3.67,2.2,2.44,4.1,2009-12-31
2010-03-31,3.63,2.46,2.4,4.5,2010-03-31
2010-06-30,3.57,2.91,2.42,5.2,2010-06-30
2010-09-30,3.41,2.16,1.99,5.1,2010-09-30
2010-12-31,3.25,1.68,1.88,4.7,2010-12-31
2011-03-31,3.2,1.85,1.84,5.4,2011-03-31
2011-06-30,3.15,2.69,1.27,5.5,2011-06-30
2011-09-30,3.03,1.83,1.22,6.1,2011-09-30
2011-12-31,2.93,1.91,1.09,5.6,2011-12-31
2012-03-31,2.96,2.77,1.66,5.6,2012-03-31
2012-06-30,3.02,1.98,1.4,5.9,2012-06-30
2012-09-30,3.0,2.71,1.07,5.2,2012-09-30
2012-12-31,3.02,1.52,1.62,6.3,2012-12-31
2013-03-31,3.16,2.9,1.39,4.5,2013-03-31
2013-06-30,3.33,2.53,1.56,4.8,2013-06-30
2013-09-30,3.41,2.6,1.87,5.3,2013-09-30
2013-12-31,3.51,2.5,2.12,5.9,2013-12-31
2014-03-31,3.72,2.64,2.04,5.0,2014-03-31
2014-06-30,3.92,1.9,2.32,5.6,2014-06-30
2014-09-30,4.02,1.96,2.78,4.6,2014-09-30
2014-12-31,4.11,2.39,1.99,4.2,2014-12-31
2015-03-31,4.27,2.61,2.61,4.8,2015-03-31
2015-06-30,4.42,2.68,3.28,3.9,2015-06-30
2015-09-30,4.43,2.64,3.59,3.7,2015-09-30
2015-12-31,4.42,2.48,3.01,4.3,2015-12-31
2016-03-31,4.48,2.54,2.67,3.8,2016-03-31
2016-06-30,4.5,3.37,2.72,4.3,2016-06-30
2016-09-30,4.4,3.0,2.84,4.8,2016-09-30
2016-12-31,4.28,3.07,2.32,5.0,2016-12-31
2017-03-31,4.24,2.08,2.4,5.7,2017-03-31
2017-06-30,4.18,2.67,2.8,4.9,2017-06-30
2017-09-30,4.02,2.27,1.88,4.7,2017-09-30
2017-12-31,3.86,2.86,1.78,5.4,2017-12-31
2018-03-31,3.8,1.9,1.67,5.1,2018-03-31
2018-06-30,3.76,2.94,1.37,5.0,2018-06-30
2018-09-30,3.64,2.01,1.17,5.2,2018-09-30
2018-12-31,3.54,2.9,1.0,6.1,2018-12-31
2019-03-31,3.57,2.94,1.22,4.8,2019-03-31
2019-06-30,3.62,3.35,0.56,5.0,2019-06-30
2019-09-30,3.61,3.21,1.05,5.6,2019-09-30
2019-12-31,3.63,2.19,1.53,5.9,2019-12-31
2020-03-31,2.77,2.21,0.68,6.8,2020-03-31
2020-06-30,2.94,3.94,1.26,7.2,2020-06-30
2020-09-30,3.02,3.2,0.93,6.6,2020-09-30
2020-12-31,3.12,1.86,1.07,6.5,2020-12-31
2021-03-31,4.33,3.16,1.89,5.3,2021-03-31
2021-06-30,4.53,3.47,2.65,4.8,2021-06-30
2021-09-30,4.63,2.88,2.54,5.3,2021-09-30
2021-12-31,4.72,2.16,2.59,4.9,2021-12-31
2022-03-31,4.88,2.72,2.55,4.5,2022-03-31
2022-06-30,5.03,3.34,3.04,3.8,2022-06-30
2022-09-30,5.04,2.57,2.83,3.9,2022-09-30
2022-12-31,5.03,3.49,2.4,4.3,2022-12-31
2000-03-31,2.5,2.84,1.86,4.2,2000-03-31
2000-06-30,2.71,1.89,2.22,5.4,2000-06-30
2000-09-30,2.8,1.31,1.92,4.2,2000-09-30
2000-12-31,2.89,1.93,2.82,5.0,2000-12-31
2001-03-31,3.06,2.56,2.88,5.0,2001-03-31
2001-06-30,3.2,2.38,2.75,4.4,2001-06-30
2001-09-30,3.22,2.47,2.63,4.4,2001-09-30
2001-12-31,3.2,2.23,3.02,5.4,2001-12-31
2002-03-31,3.26,2.59,2.97,3.9,2002-03-31
2002-06-30,3.29,1.28,2.96,4.8,2002-06-30
2002-09-30,3.19,2.59,2.68,4.4,2002-09-30
2002-12-31,3.06,1.45,2.34,4.3,2002-12-31
2003-03-31,3.02,2.18,2.87,5.2,2003-03-31
2003-06-30,2.97,1.95,1.82,4.2,2003-06-30
2003-09-30,2.8,1.74,2.28,4.4,2003-09-30
2003-12-31,2.64,2.97,1.99,5.6,2003-12-31
2004-03-31,2.59,2.75,1.65,5.3,2004-03-31
2004-06-30,2.55,2.73,1.79,6.0,2004-06-30
2004-09-30,2.42,1.86,1.25,5.9,2004-09-30
2004-12-31,2.32,2.39,1.23,5.4,2004-12-31
2005-03-31,2.35,3.05,1.23,5.8,2005-03-31
2005-06-30,2.41,2.18,1.09,5.6,2005-06-30
2005-09-30,2.39,3.52,1.35,6.0,2005-09-30
2005-12-31,2.41,2.28,1.39,5.5,2005-12-31
2006-03-31,2.55,2.27,1.66,5.6,2006-03-31
2006-06-30,2.72,1.62,1.33,5.4,2006-06-30
2006-09-30,2.8,2.01,0.92,5.2,2006-09-30
2006-12-31,2.9,2.67,1.77,4.4,2006-12-31
2007-03-31,1.11,2.52,0.65,7.6,2007-03-31
2007-06-30,1.31,2.52,1.06,7.5,2007-06-30
2007-09-30,1.41,2.27,1.85,7.4,2007-09-30
2007-12-31,1.5,2.83,1.33,8.2,2007-12-31
2008-03-31,3.66,1.62,3.03,4.2,2008-03-31
2008-06-30,3.81,2.93,2.76,4.6,2008-06-30
2008-09-30,3.82,2.34,2.5,4.6,2008-09-30
2008-12-31,3.81,2.81,2.86,3.9,2008-12-31
2009-03-31,3.87,2.88,3.21,4.0,2009-03-31
2009-06-30,3.89,0.76,3.24,4.7,2009-06-30
2009-09-30,3.8,2.45,2.75,4.1,2009-09-30
2009-12-31,3.67,2.57,3.09,5.0,2009-12-31
2010-03-31,3.63,1.89,2.55,5.0,2010-03-31
2010-06-30,3.57,2.33,2.23,4.8,2010-06-30
2010-09-30,3.41,2.56,1.7,5.2,2010-09-30
2010-12-31,3.25,3.38,1.72,5.1,2010-12-31
2011-03-31,3.2,2.48,1.53,5.2,2011-03-31
2011-06-30,3.15,2.78,1.64,5.3,2011-06-30
2011-09-30,3.03,2.51,0.79,6.0,2011-09-30
2011-12-31,2.93,2.53,1.58,5.7,2011-12-31
2012-03-31,2.96,2.96,0.72,5.0,2012-03-31
2012-06-30,3.02,1.96,1.5,6.0,2012-06-30
2012-09-30,3.0,2.93,0.39,5.2,2012-09-30
2012-12-31,3.02,3.13,1.17,5.4,2012-12-31
2013-03-31,3.16,2.74,1.35,5.2,2013-03-31
2013-06-30,3.33,3.55,1.61,4.7,2013-06-30
2013-09-30,3.41,1.75,1.21,5.2,2013-09-30
2013-12-31,3.51,2.58,1.98,4.9,2013-12-31
2014-03-31,3.72,2.34,1.89,5.1,2014-03-31
2014-06-30,3.92,2.05,2.17,4.5,2014-06-30
2014-09-30,4.02,1.68,2.03,5.2,2014-09-30
2014-12-31,4.11,2.44,2.56,5.0,2014-12-31
2015-03-31,4.27,2.48,3.09,4.6,2015-03-31
2015-06-30,4.42,2.59,2.62,4.2,2015-06-30
2015-09-30,4.43,2.67,2.98,3.3,2015-09-30
2015-12-31,4.42,2.49,3.02,4.0,2015-12-31
2016-03-31,4.48,2.14,3.25,3.7,2016-03-31
2016-06-30,4.5,2.84,3.27,4.4,2016-06-30
2016-09-30,4.4,3.1,2.78,4.8,2016-09-30
2016-12-31,4.28,2.11,2.65,3.9,2016-12-31
2017-03-31,4.24,3.1,2.09,4.9,2017-03-31
2017-06-30,4.18,2.87,1.48,4.5,2017-06-30
2017-09-30,4.02,3.21,2.06,4.7,2017-09-30
2017-12-31,3.86,2.39,1.3,5.3,2017-12-31
2018-03-31,3.8,2.3,1.43,5.0,2018-03-31
2018-06-30,3.76,2.3,1.27,6.4,2018-06-30
2018-09-30,3.64,2.84,1.24,4.9,2018-09-30
2018-12-31,3.54,3.48,1.31,5.5,2018-12-31
2019-03-31,3.57,2.18,0.74,5.1,2019-03-31
2019-06-30,3.62,3.3,0.79,5.9,2019-06-30
2019-09-30,3.61,2.81,1.1,4.5,2019-09-30
2019-12-31,3.63,2.66,1.23,5.3,2019-12-31
2020-03-31,2.77,2.66,1.37,7.6,2020-03-31
2020-06-30,2.94,2.88,1.48,6.8,2020-06-30
2020-09-30,3.02,2.29,0.82,7.0,2020-09-30
2020-12-31,3.12,3.02,1.42,6.0,2020-12-31
2021-03-31,4.33,2.71,1.63,5.2,2021-03-31
2021-06-30,4.53,3.32,1.73,4.4,2021-06-30
2021-09-30,4.63,2.18,2.7,5.8,2021-09-30
2021-12-31,4.72,2.96,2.68,5.3,2021-12-31
2022-03-31,4.88,3.16,2.75,5.6,2022-03-31
2022-06-30,5.03,2.52,2.81,3.9,2022-06-30
2022-09-30,5.04,3.49,3.12,5.1,2022-09-30
2022-12-31,5.03,3.43,2.3,4.8,2022-12-31
